,Monte Carlo,Antithetic Variates,Stratified Sampling,Empirical Martingale Correction
0,846.6870866857981,825.3018492979929,1002.0234053818912,1010.3484363675566
1,809.2397915659318,795.4092774765081,987.4359496580126,1010.3488372995555
2,820.2270514470022,830.2371222151239,1002.0753052967543,1010.3635955262233
3,861.7609337977375,840.84725025608,1002.4564156684613,1010.2136176864858
4,792.6088042625765,871.0437865955697,1001.9148168019482,1010.2143812647166
5,840.8306558373458,822.9797126364188,1010.2151448435246,1010.2151448435246
6,853.8341844042632,821.9532446055455,1010.2159084229096,1010.2159084229096
7,831.0314758700538,821.6392898286223,1010.216672002872,1010.216672002872
8,856.5823505748557,850.5427528471939,1010.2174355834118,1010.2174355834118
9,881.9148699165193,900.8419131675514,1010.2181991645282,1010.2181991645282
10,851.6627835805989,844.0113565518332,1010.2049129354468,1010.2049129354468
11,832.2456029441066,893.263279760271,1009.9115150753463,1009.9115150753463
12,822.0337435824223,894.4235909713402,1009.8991488876077,1009.8991488876077
13,823.9544248798596,860.5382559995138,1009.7684544110801,1009.7684544110801
14,846.8370382514029,838.1432332191381,1002.0362330190127,1009.9163241892489
15,814.6351435570286,850.0089106951876,1009.7863144192395,1009.7863144192395
16,828.6332588101392,843.3074027204445,1009.919530277907,1009.919530277907
17,849.4096693842105,840.1924231330985,1009.7764684782346,1009.7764684782346
18,841.1766333051709,800.3093075678318,1009.778472004961,1009.778472004961
19,880.0004266691458,849.9549760894591,1009.7941759759481,1009.7941759759481
20,857.7248802343993,803.7024004421867,1009.9259424857572,1009.9259424857572
21,877.6711940788825,876.9750855827823,1009.7844826089928,1009.7844826089928
22,863.5782491965219,859.718273986959,1009.7864861516206,1009.7864861516206
23,867.6688574617291,863.5989906191929,1009.7884896982234,1009.7884896982234
24,885.657787684732,903.4611554973878,1009.7904932488018,1009.7904932488018
25,845.6801287695763,848.0514117140503,1009.7924968033554,1009.7924968033554
26,831.6678500303622,837.3329928235399,1009.7810670550112,1009.7810670550112
27,857.94546901697,850.6937333983014,1009.7831087534884,1009.7831087534884
28,890.5269537779235,937.868216623875,1009.798507490868,1009.798507490868
29,903.5897660108812,881.3217598892207,1009.8005110613232,1009.8005110613232
30,921.1322546337309,867.4616685866603,1009.7892338736883,1009.7892338736883
31,939.3474310897112,869.4643762260536,1009.8045182141589,1009.8045182141589
32,858.531797307792,908.3443992707622,1009.8065217965399,1009.8065217965399
33,851.2365462079429,900.5859102810244,994.1163394384262,1009.8085253828962
34,862.1225228210443,846.9065860581402,985.5347135489751,1009.8105289732281
35,845.2086948343343,801.6585653290983,984.8293708285719,1009.9499886277932
36,908.9627024980407,863.6566905039361,1009.9515917242852,1009.9515917242852
37,818.6559776441729,846.2020823726183,1009.8165397680755,1009.8165397680755
38,847.5069538751861,793.8828945350994,1009.8185433743085,1009.8185433743085
39,870.9977435744196,872.4298623825503,1009.8334846775771,1009.8334846775771
40,878.5383450305903,823.5680443645927,992.8336409173958,1009.8354501528254
41,895.9694834130939,876.9730398326107,1009.8245542168609,1009.8245542168609
42,867.0067366578162,840.9292959160184,1009.8265578389962,1009.8265578389962
43,889.4293258437939,802.4901412726939,1002.548960286967,1009.8285614651063
44,852.2246083128879,874.0750896081211,1009.8305650951925,1009.8305650951925
45,849.6648712779269,846.4616343922321,1009.8325687292536,1009.8325687292536
46,889.5205230335705,898.1886967418859,1009.8345723672902,1009.8345723672902
47,880.4147574241402,831.4055540488883,1009.8492085866778,1009.8492085866778
48,888.696590640219,870.3282054118836,1009.8511740925303,1009.8511740925303
49,861.0459023508427,886.1093732251433,1001.7594295670762,1009.8405833052536
50,835.8040722297196,875.0973257575009,1009.8425869591924,1009.8425869591924
51,856.4597766654407,866.9378631508938,1001.3100830166982,1009.7260381577137
52,820.9805821906851,861.3157920324473,1009.8590361541952,1009.8590361541952
53,864.6946838413352,853.48396724825,1009.861001679175,1009.861001679175
54,838.2783178395044,877.6530462433818,1009.8753329526755,1009.8753329526755
55,787.7568468672558,888.394000122506,992.9942358902478,1009.8772603431888
56,797.2740350103427,898.7246807389971,1000.0488138171193,1009.866898277069
57,759.2652591063628,855.7801346372521,994.584200021582,1009.8688638173513
58,796.3465352250926,828.5222974634114,1001.9905512318729,1009.8708293614598
59,834.2699881151196,829.7373632254009,1001.6872152343008,1009.8849699420269
60,839.4442023143457,724.7341527824801,1009.8747604611527,1009.8747604611527
61,879.2646552428898,833.9470815344606,1009.7617951512814,1009.7617951512814
62,818.1697074608849,842.5450887372795,1009.7641230250723,1009.7641230250723
63,867.6483371800033,894.2043654162285,1001.5755945846875,1009.6522575845261
64,843.1375856313514,822.1998801795115,1008.1456554525445,1008.1456554525445
65,842.2782672727009,894.5973630500362,998.759313985603,1008.0223689877114
66,826.4333751903828,827.0503544566266,1007.8998975198572,1007.8998975198572
67,817.16137776783,811.3516012162773,993.7940834899637,1007.9144676066796
68,853.5343003611669,877.1707092616015,1007.9171530966506,1007.9171530966506
69,850.0070935209546,861.6786021564576,992.8774179776142,1008.0198927453264
70,863.9827917277408,870.0841317714159,1007.9987877878629,1007.9987877878629
71,820.599864304087,848.5706321780733,1008.0129212032829,1008.0129212032829
72,872.3986045255319,803.3702114876636,1007.7938564879983,1007.7938564879983
73,879.009872864037,862.9835691095025,1008.029340595097,1008.029340595097
74,799.2756500334478,853.6737460187938,999.8936105025955,1008.0432839545184
75,867.6483127929989,869.9784175251817,1008.022521372057,1008.022521372057
76,843.7036372987396,821.4927612099159,1008.0249214285366,1008.0249214285366
77,821.3177607983421,850.4291362683985,1008.136263663182,1008.136263663182
78,911.1702281679917,818.0345801470003,1000.2868713629126,1008.2583256446436
79,873.8743317093207,875.6343878712906,993.1313987810262,1008.2713576391955
80,887.6642639041231,866.5991857789809,1008.2616026800526,1008.2616026800526
81,866.273965557764,871.3257214161688,1001.3247263309427,1008.2519240248035
82,897.1755223126033,888.2615304097365,1008.360757090028,1008.360757090028
83,910.4821677995908,883.9400657156939,1008.2440363705368,1008.2440363705368
84,932.929880775451,905.3593310178741,1008.2681567828233,1008.2681567828233
85,907.559759670647,887.2846288285926,1008.1414072286691,1008.1414072286691
86,926.4647179029178,882.5350555988709,1000.3622080228478,1008.2380539879179
87,880.4326088319026,856.8231077379279,1008.228718493601,1008.228718493601
88,855.201588702687,932.3706763973272,1008.2194592927846,1008.2194592927846
89,936.8847127771312,888.2597176736396,1008.2653369892001,1008.2653369892001
90,907.0133532398802,893.9398297906941,1007.7787739717162,1007.7787739717162
91,902.4875634441488,898.4750961190122,1008.000787787442,1008.000787787442
92,927.512186579309,903.9079529460844,1007.9925021007347,1007.9925021007347
93,908.4515912399132,901.3128541354008,1008.0982973415682,1008.0982973415682
94,925.851406039863,913.349886483622,1007.8733862159004,1007.8733862159004
95,904.4160184383492,940.8551384231307,1007.8872512361578,1007.8872512361578
96,931.3044273800685,946.2928815311153,1007.7775171055482,1007.7775171055482
97,925.1119775447905,964.7099189107264,1007.7702615905854,1007.7702615905854
98,889.051699104814,856.8514844293759,1007.9763880636878,1007.9763880636878
99,945.6025841438277,932.5471099475118,1007.8781856244048,1007.8781856244048
100,971.1297533992577,969.0680352779963,1007.7913046322575,1007.7913046322575
101,941.3579117708438,914.7838987305564,1007.6734311751486,1007.6734311751486
102,951.6454108922746,979.1175540615455,1007.8875559640198,1007.8875559640198
103,911.3018085578069,932.2977865315737,1007.9901973586084,1007.9901973586084
104,977.320197511914,948.2961738763132,1007.6955194969803,1007.6955194969803
105,928.6103326986297,930.6201913461118,1007.8969263907516,1007.8969263907516
106,916.7614329982226,941.3325497668513,1007.8119862760014,1007.8119862760014
107,954.5565368779504,949.6616065362922,1008.1096508935063,1008.1096508935063
108,957.7697827393132,960.8587333517481,1008.0142926503671,1008.0142926503671
109,942.1791575164882,964.9422621317793,1008.2117433570603,1008.2117433570603
110,965.8804388734096,1000.5209338375056,1008.1167374034876,1008.1167374034876
111,939.1414624538213,941.0577618441791,1008.1292722662463,1008.1292722662463
112,969.8769898271655,946.9711678082394,1008.2278802085448,1008.2278802085448
113,970.1378278305699,948.0773176663282,1008.1137275356358,1008.1137275356358
114,983.2059882739992,993.6189714901493,1008.2217455073027,1008.2217455073027
115,936.6963138640547,954.436505573678,1008.1185280886256,1008.1185280886256
116,965.484961439264,967.5611230857186,1008.1209283736925,1008.1209283736925
117,973.386593416644,964.1270715398641,1008.217801790501,1008.217801790501
118,950.8640113910965,947.1462883148497,1008.1604005478515,1008.1604005478515
