,0,1,2,3,4,5,6,7,8
0,734.9319425635854,733.4830755286947,736.3808095984759,735.2342456263722,734.6299293193853,735.2340287808441,734.6301459841619,734.9317258085093,734.9321593187259
1,776.5149662860921,774.9829332120878,778.0469993600955,776.8126614404381,776.2175379889,776.8124327625724,776.2177664892397,776.5147376970644,776.5151948751849
2,759.3686370848985,757.8708969759983,760.8663771937966,759.6861580720741,759.0514258678147,759.6859563350856,759.0516274339428,759.3684354334093,759.3688387364424
3,748.1168644741327,746.6416247936482,749.5921041546193,748.4372106055836,747.7968380071202,748.4367933878189,747.7972548630651,748.1164474374855,748.1172815110139
4,733.6689698596065,732.2226259842179,735.1153137349938,734.001849408782,733.3364418506868,734.0014414462399,733.3368494382552,733.6685620847658,733.6693776346768
5,731.2887629201277,729.8471794744873,732.7303463657685,731.6177998869117,730.9600719838876,731.6173943588005,730.9604771423509,731.2883575770511,731.2891682634312
6,748.0471804919945,746.5720802270762,749.5222807569091,748.3732870983118,747.7214084899292,748.3728732630759,747.7218219597935,748.0467668396544,748.0475941445643
7,739.9704837578115,738.5115369022319,741.4294306133893,740.2936515154512,739.6476501289673,740.293243314899,739.6480579684155,739.970075738019,739.9708917778315
8,754.8858213098761,753.3970437950613,756.3745988246924,755.2003921983409,754.5715719743389,755.1999767857143,754.5719870364247,754.8854060727258,754.8862365472571
9,774.5565567873656,773.0284378174639,776.0846757572664,774.8552043487625,774.2581968819139,774.8547791277296,774.2586217710622,774.556131732473,774.5569818424975
10,767.8919760024155,766.3771859179723,769.4067660868571,768.1948115247593,767.5894383164946,768.1943701358078,767.5898793530515,767.8915347898753,767.8924172152106
11,787.7306241792772,786.1761507011475,789.2850976574066,788.0374546351142,787.4240931610951,788.0365512040617,787.4249958805281,787.7297211047321,787.7315272548681
12,776.9744614232965,775.4415000136883,778.5074228329069,777.2827687186048,776.6664608404816,777.2818590627892,776.6673697662363,776.9735521332373,776.9753707144398
13,741.0254500187729,739.5643839159079,742.4865161216388,741.3370295363513,740.7141949141643,741.335973872645,740.7152496797439,741.0243948051262,741.0265052339419
14,707.9595491638164,706.56461793566,709.3544803919739,708.2630129717941,707.6564052164483,708.2622088764635,707.6572086136621,707.9587454181928,707.9603529103687
15,741.6861406696647,740.2237535566621,743.1485277826704,741.9910664695396,741.3815253434167,741.9900356821936,741.3825552732836,741.685110312004,741.687171028779
16,740.606941119016,739.146715173579,742.0671670644548,740.9147390790896,740.2994596079224,740.913901994177,740.3002959886633,740.6061043868515,740.6077778521394
17,756.0087326755228,754.5177001738922,757.499765177157,756.3053655221163,755.7123931938872,756.3043000759017,755.7134577945186,756.0076676530675,756.0097976994995
18,769.4198048020585,767.901950197809,770.9376594063059,769.7141252447799,769.125769955953,769.7130436560147,769.1268507080847,769.4187236325848,769.4208859730727
19,759.5281988123031,758.0301277463903,761.0262698782152,759.8289167121194,759.2277825180817,759.8278724564246,759.2288259375056,759.5271549756785,759.5292426503776
20,713.5773559790235,712.1711893371216,714.9835226209245,713.8824028366745,713.2726334326368,713.8816056636441,713.2734299154988,713.5765591517116,713.5781528072375
21,726.8186706064416,725.3860183954951,728.2513228173868,727.1141921258965,726.5234519504961,727.1131797563758,726.5244634869073,726.8176586544032,726.819682559906
22,769.9712175132477,768.4522602501257,771.4901747763702,770.2469002450988,769.6957897706009,770.2458299570393,769.696859283806,769.9701476135514,769.9722874144551
23,767.4510484468807,765.9371315635279,768.964965330233,767.7387908487685,767.1635829853269,767.7377270989231,767.1646459286338,767.4499851012453,767.4521117940104
24,755.0075287504363,753.5184989481137,756.4965585527564,755.3017427876707,754.7136072993686,755.3006994645219,754.7146498001229,755.0064858394181,755.008571662913
25,738.2495383906055,736.7940246106394,739.7050521705687,738.5389783950274,737.960388313705,738.5379614421354,737.9614044598292,738.2485218420104,738.2505549406229
26,716.4021960403135,714.9903767075193,717.8140153731081,716.697145533659,716.1075537153786,716.6961431561837,716.108555257414,716.4011940814879,716.4031980005624
27,707.7668044680792,706.3722559608588,709.1613529752999,708.0634240757911,707.4705001288378,708.0624367737993,707.4714865930337,707.765817585908,707.767791351651
28,730.5694293198793,729.1292758829666,732.0095827567899,730.8623241133885,730.276836506824,730.8613264593357,730.2778333514017,730.5684320714636,730.5704265696749
